Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
grout-tile-stone-cleaner-spray-wipe,Grout Tile & Stone Cleaner (Spray & Wipe),"Ready to use, fast acting stain remover. Safe for all surfaces (avoid unsealed polished stone). Great for everyday use.",Sure Seal,Cleaners,retail,TRUE,Size,750ML,GTS750U,1000,shopify,100,deny,manual,17.55,,https://suresealsealants.com.au/images/cleaner_gts750u_front.png
grout-tile-stone-cleaner-spray-wipe,,,,,,,Size,750ML Wholesale,GTS750U-W,1000,shopify,100,deny,manual,12.76,,
grout-tile-stone-cleaner-concentrate,Grout Tile & Stone Cleaner Concentrate,"Concentrated heavy duty cleaner. Cleans toughest stains. Great for dirt removal and cleaning concrete. Recommended for use on sealed surfaces.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,GTS1U,1200,shopify,100,deny,manual,20.95,,https://suresealsealants.com.au/images/cleaner_gts1u_group.png
grout-tile-stone-cleaner-concentrate,,,,,,,Size,4 LTR,GTS4U,4500,shopify,100,deny,manual,76.95,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,20 LTR,GTS20D,21000,shopify,100,deny,manual,326.75,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,1 LTR Wholesale,GTS1U-W,1200,shopify,100,deny,manual,15.24,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,4 LTR Wholesale,GTS4U-W,4500,shopify,100,deny,manual,55.96,,
grout-tile-stone-cleaner-concentrate,,,,,,,Size,20 LTR Wholesale,GTS20D-W,21000,shopify,100,deny,manual,237.64,,
eff-plus-remover,Eff-Plus Remover,"Removes efflorescence, grout haze, cement, and rust stains.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,EFFP1U,1200,shopify,100,deny,manual,18.45,,https://suresealsealants.com.au/images/cleaner_effp1u_group.jpg
eff-plus-remover,,,,,,,Size,4 LTR,EFFP4U,4500,shopify,100,deny,manual,56.65,,
eff-plus-remover,,,,,,,Size,20 LTR,EFFP20D,21000,shopify,100,deny,manual,239.60,,
eff-plus-remover,,,,,,,Size,1 LTR Wholesale,EFFP1U-W,1200,shopify,100,deny,manual,13.42,,
eff-plus-remover,,,,,,,Size,4 LTR Wholesale,EFFP4U-W,4500,shopify,100,deny,manual,41.20,,
eff-plus-remover,,,,,,,Size,20 LTR Wholesale,EFFP20D-W,21000,shopify,100,deny,manual,174.25,,
sure-clean-porcelain-paste-cleaner,Sure Clean Porcelain Paste Cleaner,"Removes wax, grease, oil, and soap scum. Ideal for polished porcelain and natural stone.",Sure Seal,Cleaners,retail,TRUE,Size,1 LTR,SC1U,1200,shopify,100,deny,manual,30.50,,https://suresealsealants.com.au/images/cleaner_sc1u_group.png
sure-clean-porcelain-paste-cleaner,,,,,,,Size,4 LTR,SC4U,4500,shopify,100,deny,manual,109.50,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,20 LTR,SC20D,21000,shopify,100,deny,manual,375.90,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,1 LTR Wholesale,SC1U-W,1200,shopify,100,deny,manual,22.18,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,4 LTR Wholesale,SC4U-W,4500,shopify,100,deny,manual,79.64,,
sure-clean-porcelain-paste-cleaner,,,,,,,Size,20 LTR Wholesale,SC20D-W,21000,shopify,100,deny,manual,273.38,,
rug-carpet-textile-stain-remover,Rug Carpet & Textile Stain Remover,"Fast acting stain remover. Safe & easy to use. For rugs, carpet, car mats & more.",Sure Seal,Cleaners,retail,TRUE,Size,750ML,RCSR750U,1000,shopify,100,deny,manual,17.75,,https://suresealsealants.com.au/images/cleaner_rcsr750u_front.png
rug-carpet-textile-stain-remover,,,,,,,Size,750ML Wholesale,RCSR750U-W,1000,shopify,100,deny,manual,12.91,,
grout-tile-stone-sealer-quick-drying-aerosol,Grout Tile & Stone Sealer (Quick Drying Aerosol),"World's First Aerosol Sealer. Used and recommended by many tilers & contractors. Long lasting stain protection. Resists water and oil based stains. Helps prevent mould & mildew.",Sure Seal,Aerosols,retail,TRUE,Size,300g,QDAU,400,shopify,100,deny,manual,34.95,,https://suresealsealants.com.au/images/sealer_gts300a_front.png
grout-tile-stone-sealer-quick-drying-aerosol,,,,,,,Size,300g Wholesale,QDAU-W,400,shopify,100,deny,manual,25.42,,
grout-tile-stone-sealer-slow-drying-aerosol,Grout Tile & Stone Sealer (Slow Drying Aerosol),"Ideal for stone bench tops. Deep penetrating sealer. Long lasting stain protection. Resists water and oil based stains. Helps prevent mould & mildew.",Sure Seal,Aerosols,retail,TRUE,Size,300g,SDAU,400,shopify,100,deny,manual,35.95,,https://suresealsealants.com.au/images/sealer_sdau_front.png
grout-tile-stone-sealer-slow-drying-aerosol,,,,,,,Size,300g Wholesale,SDAU-W,400,shopify,100,deny,manual,26.15,,
rug-carpet-protector,Rug & Carpet Protector,"Protects from oil and water-based stains. Will not affect dyes or cause shrinkage. Suitable for Oriental & Persian rugs & carpet, lounge suites & car upholstery.",Sure Seal,Aerosols,retail,TRUE,Size,350g,RCPAU,450,shopify,100,deny,manual,29.50,,https://suresealsealants.com.au/images/sealer_rcpau_front.png
rug-carpet-protector,,,,,,,Size,350g Wholesale,RCPAU-W,450,shopify,100,deny,manual,21.45,,
timber-sealer-aerosol,Timber Sealer (Aerosol),"Preserves & Extends. Quick drying & easy to apply. Suitable for raw & stained timber. Oil & stain resistant.",Sure Seal,Aerosols,retail,TRUE,Size,300g,TSAU,400,shopify,100,deny,manual,35.25,,https://suresealsealants.com.au/images/sealer_tsau_front.png
timber-sealer-aerosol,,,,,,,Size,300g Wholesale,TSAU-W,400,shopify,100,deny,manual,25.64,,
ezy-as-1-2-3-water-based-sealer,Ezy As 1-2-3 Water-Based Sealer,"Create your own finish: Low sheen, semi-gloss or full gloss. Gloss up walls eg. natural stack stone walls. Will maintain a tough, durable finish that resists abrasion.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,EA1U,1200,shopify,100,deny,manual,35.20,,https://suresealsealants.com.au/images/sealer_ezyas1l_group.jpg
ezy-as-1-2-3-water-based-sealer,,,,,,,Size,4 LTR,EA4U,4500,shopify,100,deny,manual,105.60,,
ezy-as-1-2-3-water-based-sealer,,,,,,,Size,20 LTR,EA20D,21000,shopify,100,deny,manual,324.50,,
ezy-as-1-2-3-water-based-sealer,,,,,,,Size,1 LTR Wholesale,EA1U-W,1200,shopify,100,deny,manual,25.60,,
ezy-as-1-2-3-water-based-sealer,,,,,,,Size,4 LTR Wholesale,EA4U-W,4500,shopify,100,deny,manual,76.80,,
ezy-as-1-2-3-water-based-sealer,,,,,,,Size,20 LTR Wholesale,EA20D-W,21000,shopify,100,deny,manual,236.00,,
consolidator-sealer-water-based,Consolidator Sealer Water-Based,"Ideal around salt-water swimming pools. Hardens loose & friable surfaces. Helps prevent saltwater erosion. Binds stone.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,CONS1U,1200,shopify,100,deny,manual,70.50,,https://suresealsealants.com.au/images/sealer_sd1u_wb_group.jpg
consolidator-sealer-water-based,,,,,,,Size,4 LTR,CONS4U,4500,shopify,100,deny,manual,237.60,,
consolidator-sealer-water-based,,,,,,,Size,20 LTR,CONS20D,21000,shopify,100,deny,manual,979.00,,
consolidator-sealer-water-based,,,,,,,Size,1 LTR Wholesale,CONS1U-W,1200,shopify,100,deny,manual,51.27,,
consolidator-sealer-water-based,,,,,,,Size,4 LTR Wholesale,CONS4U-W,4500,shopify,100,deny,manual,172.80,,
consolidator-sealer-water-based,,,,,,,Size,20 LTR Wholesale,CONS20D-W,21000,shopify,100,deny,manual,712.00,,
timber-sealer-solvent,Timber Sealer (Solvent),"Preserves & Protects. Suitable for raw & stained timber. Protects against water & oil staining. Invisible protection.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,TS1U,1200,shopify,100,deny,manual,57.25,,https://suresealsealants.com.au/images/sealer_24p1u_s_front.jpg
timber-sealer-solvent,,,,,,,Size,4 LTR,TS4U,4500,shopify,100,deny,manual,176.00,,
timber-sealer-solvent,,,,,,,Size,20 LTR,TS20D,21000,shopify,100,deny,manual,748.00,,
timber-sealer-solvent,,,,,,,Size,1 LTR Wholesale,TS1U-W,1200,shopify,100,deny,manual,41.64,,
timber-sealer-solvent,,,,,,,Size,4 LTR Wholesale,TS4U-W,4500,shopify,100,deny,manual,128.00,,
timber-sealer-solvent,,,,,,,Size,20 LTR Wholesale,TS20D-W,21000,shopify,100,deny,manual,544.00,,
grout-tile-stone-sealer-quick-drying-solvent,Grout Tile & Stone Sealer (Quick Drying Solvent),"Superior protection for porous surfaces. Works great for terracotta. Protects from mould and thaw damage. Ideal for low temperature application.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,QD1U,1200,shopify,100,deny,manual,57.95,,https://suresealsealants.com.au/images/sealer_qd1u_s_group.jpg
grout-tile-stone-sealer-quick-drying-solvent,,,,,,,Size,4 LTR,QD4U,4500,shopify,100,deny,manual,176.50,,
grout-tile-stone-sealer-quick-drying-solvent,,,,,,,Size,20 LTR,QD20D,21000,shopify,100,deny,manual,751.95,,
grout-tile-stone-sealer-quick-drying-solvent,,,,,,,Size,1 LTR Wholesale,QD1U-W,1200,shopify,100,deny,manual,42.15,,
grout-tile-stone-sealer-quick-drying-solvent,,,,,,,Size,4 LTR Wholesale,QD4U-W,4500,shopify,100,deny,manual,128.36,,
grout-tile-stone-sealer-quick-drying-solvent,,,,,,,Size,20 LTR Wholesale,QD20D-W,21000,shopify,100,deny,manual,546.87,,
grout-tile-stone-sealer-slow-drying-solvent,Grout Tile & Stone Sealer (Slow Drying Solvent),"Durable stain resistant protection for dense surfaces. Best for Marble & Granite application. Slower drying for greater penetration. Helps prevent mould and mildew.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,SD1U,1200,shopify,100,deny,manual,70.95,,https://suresealsealants.com.au/images/sealer_sd1u_s_group.jpg
grout-tile-stone-sealer-slow-drying-solvent,,,,,,,Size,4 LTR,SD4U,4500,shopify,100,deny,manual,213.15,,
grout-tile-stone-sealer-slow-drying-solvent,,,,,,,Size,20 LTR,SD20D,21000,shopify,100,deny,manual,882.00,,
grout-tile-stone-sealer-slow-drying-solvent,,,,,,,Size,1 LTR Wholesale,SD1U-W,1200,shopify,100,deny,manual,51.60,,
grout-tile-stone-sealer-slow-drying-solvent,,,,,,,Size,4 LTR Wholesale,SD4U-W,4500,shopify,100,deny,manual,155.02,,
grout-tile-stone-sealer-slow-drying-solvent,,,,,,,Size,20 LTR Wholesale,SD20D-W,21000,shopify,100,deny,manual,641.45,,
24-7-plus-stone-concrete-sealer,24/7 Plus Stone & Concrete Sealer,"Water-based. Excellent for garden walls, retaining walls, decorative concrete and benches. Life for up to 10 years. Allows the treated surface to breathe.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,24P1U,1200,shopify,100,deny,manual,52.50,,https://suresealsealants.com.au/images/sealer_24p1u_wb_group.jpg
24-7-plus-stone-concrete-sealer,,,,,,,Size,4 LTR,24P4U,4500,shopify,100,deny,manual,170.00,,
24-7-plus-stone-concrete-sealer,,,,,,,Size,20 LTR,24P20D,21000,shopify,100,deny,manual,845.50,,
24-7-plus-stone-concrete-sealer,,,,,,,Size,1 LTR Wholesale,24P1U-W,1200,shopify,100,deny,manual,38.18,,
24-7-plus-stone-concrete-sealer,,,,,,,Size,4 LTR Wholesale,24P4U-W,4500,shopify,100,deny,manual,123.64,,
24-7-plus-stone-concrete-sealer,,,,,,,Size,20 LTR Wholesale,24P20D-W,21000,shopify,100,deny,manual,614.91,,
premium-plus-sealer,Premium Plus Sealer,"Gold Standard Sealer. Water-based, heavy duty penetrating sealer for commercial application. Promotes easier clean up. Long life sealer for up to 15 years. Ideal for high-traffic areas.",Sure Seal,Sealers,retail,TRUE,Size,1 LTR,PP1U,1200,shopify,100,deny,manual,73.50,,https://suresealsealants.com.au/images/sealer_pp1u_group.jpg
premium-plus-sealer,,,,,,,Size,4 LTR,PP4U,4500,shopify,100,deny,manual,239.50,,
premium-plus-sealer,,,,,,,Size,20 LTR,PP20D,21000,shopify,100,deny,manual,1065.75,,
premium-plus-sealer,,,,,,,Size,1 LTR Wholesale,PP1U-W,1200,shopify,100,deny,manual,53.45,,
premium-plus-sealer,,,,,,,Size,4 LTR Wholesale,PP4U-W,4500,shopify,100,deny,manual,174.18,,
premium-plus-sealer,,,,,,,Size,20 LTR Wholesale,PP20D-W,21000,shopify,100,deny,manual,775.09,,
